title,donor/recipient
Beitrag fur die Anti-Korruptionsinitiative ,Liechtenstein/Serbia and Montenegro
Beitrage CTBTO ,Liechtenstein/Global
Beitrag an Weltorganisation gegen die  Folter,Liechtenstein/Global
Beitrag an UNDP fUr DDR AktivitAten  (Disarmament,Liechtenstein/Global
Beitrag ans Genfer Zentrum fÂ¸r die  demokratische Kontrolle der Streitkrâ€°fte ,Liechtenstein/Global
Beitrag ans generelle Budget des  International Centre for Asset Recovery ,Liechtenstein/Global
Beitrag ans generelle Budget der Women's  World Summit Foundation ,Liechtenstein/Global
Beitrag ans generelle Budget,Liechtenstein/Global
Beitrag an OPCW ,Liechtenstein/Global
Beitrag an ODIHR: Programm zur  Technischen UnterstÂ¸tzung bei Wahlen,Liechtenstein/Global
Beitrag an ODIHR: Programm  Menschenrechte und  Terrorismusbekampfung ,Liechtenstein/Global
Beitrag an Local Democracy Agency in  Albanien ,Liechtenstein/Albania
Beitrag an die Koalition fur den ICC ,Liechtenstein/Global
Beitrag an die International Commission of Jurists (ICJ),Liechtenstein/Global
Beitrag an die Abteilung fÂ¸r Politische  Angelegenheiten der UNO (DPA),Liechtenstein/Global
Beitrag an den International Service for Human Rights (ISHR),Liechtenstein/Global
<Beitrag an das ordentliche UNO-Budget 2005 >,Liechtenstein/United Nations
Beitrag an das Nord-Sud-Zentrum Lissabon,Liechtenstein/Global
Beitrag an das Mikrofinanz-Programm des  UNO-Kapitalentwicklungsfonds,Liechtenstein/Global
Beitrag an das Human Rights Film Festival  in Chisinau: Moldau,Liechtenstein/Moldova
Beitrag an das Forschungsprojekt uber die Methoden der Terrorismusfinanzierung,Liechtenstein/Global
Beitrag an Comic Strip zum Thema  Menschenhandel,Liechtenstein/Global
Beitrag an Children and Armed non-State  Actors (CANSA) ,Liechtenstein/Global
Beitai Ductile Cast Iron Pipe Project,Kuwait/China
Beirut Southern Entrances: Khaldeh -Cocodi Road and Awzaee Road,AFESD/Lebanon
Beirut Port 4th Basin Project,AFESD/Lebanon
Beirut General Hospital,Saudi Arabia/Lebanon
Beirut Eastern Entrance - Syrian Boarder Road Project - Phase I (Hazmia - Sofar),Kuwait/Lebanon
Beira Transport Corridor Project,IDA/Mozambique
Beira-Machipanda Road Rehabilitation Study (Grant),AFDF/Mozambique
Beira Fishing Port Project,BADEA/Mozambique
Beira Corridor Transport System,AFDF/Mozambique
Beira Corridor Health Project,AFDF/Mozambique
Beilungang Thermal Power Project,IBRD/China
Beilungang Thermal Power Extension Project,IBRD/China
Beijing Urban Transport,ASDB/China
Beijing-Tianjin Water Resources Study,ASDB/China
Beijing Silk Fabrics Project,Kuwait/China
Beijing Region Water Resources Management,ASDB/China
Beijing Environmental Project,IDA/China
Beijing Environmental Improvement,ASDB/China
Beijing Environmental Improvement,ASDB/China
Beheira Provincial Water Supply Project,IDA/Egypt
Before and beyond the European Union - economic development in Vojvodina,Hungary/Serbia and Montenegro
Cold Stores,OPEC/Yemen
Cold Storage Project,ASDB/Korea
Cold Rolling Mill,United States/China
Cold Mill Plant Modernization,United States/Chile
Cold Box and Heat Exchanges for Air Separation Plant,United States/Mexico
colbhn-Machicura Hydroelectric Plant,IADB/Chile
CokolÃ¡dovny,EBRD/Czech Republic
Coke Production and Integrated Cogeneration,IADB/Brazil
Coir Fibre Pilot Plant,CDB/St.Vincent & Grenadines
Co-financing the upgrading of the National Control Center for the Electrical Grid,AFESD/Jordan
Co-financing the upgrading,AFESD/Egypt
Co-financing the Society's Fifth Conference,AFESD/Global
Cofinancing the Regional Project for the Control of Brucellusis.,AFESD/Global
Co-financing The Programme for Training and Scholarships in Tropical Diseases in the Arab World,AFESD/Global
Co-financing the preparation of studies to solve the unemployment problem and to improve the economic and financial performance in Morocco,AFESD/Morocco
Co-financing the preparation of a comparative plan to upgrade the sewerage sector in Nouakchott,AFESD/Mauritania
Co-Financing the IITO Workshop to Explore Options for Global Forest Management,ASDB/Global
Co-financing the feasibility study of the Lattakia-Jericho Road,AFESD/Syria
Co-financing the Costs of the International Conference on the Historic Buildings of Jerusalem,AFESD/Palestinian Adm. Areas
Co-financing the 6th Arab Energy Conference,AFESD/Global
Co-financing Preliminary Regional Arab Meeting (Amman) on Education for All by the year 2000,AFESD/Global
Co-financing Phase III of the Taba/Sharm El-Sheikh Area Comprehensive Development Plan,AFESD/Egypt
Co-financing: Field Research to Control Malaria in the Arab Countries and Africa,AFESD/Global
Co-financing a youth centre,Poland/Tanzania
Co-financing a health centre,Poland/Rwanda
Co-financing 1st Scientific Conference of Arab Society for Economic Research,AFESD/Global
Co-financing 10th Arab Economists Association Conference.,AFESD/Global
Co-financer for the organization of a seminar on The Role of the State in the Modern Arab Economic Environment,AFESD/Global
COFIDE Project,IBRD/Peru
Coffee Sector Project,IDA/Burundi
Coffee Rehabilitation Project,AFDF/Uganda
Coffee Pulp Plant,IADB/Costa Rica
Coffee Project (02),IDA/Kenya
Coffee Project (02),IDA/Zambia
Coffee Project,IDA/Burundi
Coffee Production Project,IDA/Zambia
Coffee processor,IFC/Cameroon
Coffee Processing Project (01),IDA/Ethiopia
Coffee Processing and Marketing Project (02),IDA/Ethiopia
Coffee Plantation MANAGEMENT AND ITS RELATION TO THE CONTROL OF BIT,Colombia/Panama
Coffee Improvement Project (02),IDA/Burundi
Coffee Improvement Project,OPEC/Burundi
Coffee Cultivation and Processing,Kuwait/Burundi
Coffee Cocoa Rehabilitation Project,IDA/Equatorial Guinea
Coffee and Cocoa Project (02),IDA/Togo
Coffee and Cocoa Project (01),IDA/Togo
Coelba Investment Program,IADB/Brazil
Coconut Smallholders Development Project,IBRD/Malaysia
Coconut Sector Development Study,ASDB/Marshall Islands
Coconut Rehabilitation and Rodent Control Project,IDA/Comoros
Coconut plantation,IFC/Brazil
Coconut Pilot Project,IDA/Tanzania
Coconut Oil Processing Mill Project,ASDB/Samoa
Coconut Oil Mill Project,ASDF/Samoa
Coconut Industry Study,ASDB/Global
Coconut Development Project,IFAD/Sri Lanka
Coconut Development,ASDB/Sri Lanka
Coconut Development,ASDF/Sri Lanka
Cocoa Rehabilitation Project,OPEC/Equatorial Guinea
Cocoa Rehabilitation Project,IBRD/Cameroon
Cocoa Rehabilitation Project,IDA/Sao Tome & Principe
Cocoa Rehabilitation and Development in Woleu N'Tem Region (Supplementary Loan),AFDB/Gabon
COCOA REHABILITATION,BADEA/Sao Tome & Principe
Cocoa Rehabilitation,OPEC/Sao Tome & Principe
Cocoa Rehabilitation,AFDF/Sao Tome & Principe
Cocoa Rehabilitation,AFDB/Ghana
Cocoa Rehabilitation,AFDF/Ghana
Cocoa Rehabilitation,AFDB/Equatorial Guinea
Cocoa Rehabilitation,OPEC/Sao Tome & Principe
Cocoa Project (02),IBRD/Cote d'Ivoire
Cocoa Project (01),IBRD/Cote d'Ivoire
COCOA PROJECT,BADEA/Ghana
Cocoa Project,IBRD/Cameroon
Cocoa Project,IDA/Ghana
Cocoa Pest Control,CDB/Grenada
Cocoa Fermentary,CDB/Grenada
Cocoa and Coffee Project (03),IDA/Togo
Cocoa and Coffee Development Project,IBRD/Dominican Republic
Cocoa (03),IDA/Ghana
Cochin Fertilizer Project (02),IDA/India
Cochabamba Water System,IADB/Bolivia
Cochabamba - Santa Cruz Highway Improvement,IADB/Bolivia
UNITY Housing For Disabled,Qatar/United States
Unity and Cooperation for Peopleâ€™s Development: Global Programme to Address Marginalization of Poor Farmers and Migrants in Ecuador,IFAD/Global
UnitT Camerounaise PharmacTutique,IFC/Cameroon
Unitel,EBRD/Uzbekistan
Unitel,EBRD/Uzbekistan
United Telecommunications Investment,EBRD/Hungary
United Stainless Steel Company,OPEC/Bahrain
United Romanian Breweries,EBRD/Romania
United Power Company S.A.O.G. offered rights issue for the 180 MW expansion of the FY94-approved gas-fired power plant.,IFC/Oman
United Netherlands Navigation Project,IBRD/Netherlands
[United Nations Trust Fund for Chernobyl],Liechtenstein/Ukraine
[United Nations Population Fund (UNFPA) 1 0 000 for the charity Children summer camp for war-affected children from Bosnia Pleschiwetz,Liechtenstein/Bosnia-Herzegovina
[United Nations Population Fund (UNFPA) 1 0 000 for the charity Children summer camp for war-affected children from Bosnia Pleschiwetz,Liechtenstein/Bosnia-Herzegovina
United Nations Mission (UNMIL/UNPOL),South Africa/Liberia
[United Nations Department of Humanitarian Affairs (DHA): Somalia],Liechtenstein/Somalia
 United Nations Department of Humanitarian Affairs (DHA): North Korea,Liechtenstein/Korea
[United Nations Children's Fund (UNICEF) 10000 for the establishment of the charity Children agesstÃ_tte for children and young people with physical and mental disabilities in Plovdic / Bulgaria],Liechtenstein/Bulgaria
United Nations Childrenâ€™s Fund,OPEC/Nepal
United Leasing Company Limited,ASDF/Bangladesh
United Georgian Bank,EBRD/Georgia
United Georgian Bank,EBRD/Georgia
United Contractors and Builders Senegal (UCBS),OPEC/Senegal
United Bulgarian Bank â€“ Equity Investment,EBRD/Bulgaria
United Bank for Africa (plc),IFC/Nigeria
UNISA/DFA Project,South Africa/Sudan
Unirea S.A.,EBRD/Romania
Unique Hotels,IFC/Bangladesh
UNIQUA TU na Zycle,EBRD/Poland
UNIQA Versicherungen AG: Uniqa Osiguranje,EBRD/Croatia
UNIQA TU na Zycie,EBRD/Poland
UNIQA TU,EBRD/Poland
UNIQA TU,EBRD/Poland
UNIQA â€“ Osiguranje,EBRD/Croatia
UNIQA Osiguranje,EBRD/Croatia
Uniqa Osiguranje,EBRD/Bosnia-Herzegovina
UNIQA Biztosito RT,EBRD/Hungary
Unipak Nile Limited,IFC/Egypt
Unionbank AD,IFC/Bulgaria
Unionbank,EBRD/Bulgaria
Unionbank,EBRD/Bulgaria
Unileasing (Equity),EBRD/Azerbaijan
Unileasing,EBRD/Azerbaijan
Unified Registration System,ASDB/Indonesia
Unified Gas Supply System Upgrade,EBRD/Russia
[UNIFEM contribution to the promotion of women in peace processes; Res 1325],Liechtenstein/Global
UniCredit Zagreback Banka,EBRD/Bosnia-Herzegovina
Unicell Paper Mills (S.A.) (Pty) Limited will receive a rand loan to install and operate an integrated tissue paper mill including a deinked pulp mill and converting lines. The plant will stimulate the collection of waste paper for recycling.,IFC/South Africa
Unicell Paper Mills Caribbean Ltd.,IFC/Trinidad & Tobago
UNICEF - Reinforced prevention of mother-to-child transmission of HIV/AIDS and paediatric care,Monaco/Burkina Faso
[UNICEF project on AIDS prevention],Liechtenstein/Gabon
UNICEF - Primary Health Care Program,OPEC/Maldives
UNICEF mokyklos Gore: 3 ,Lithuania/Afghanistan
UNICEF - Expanded Program of Immunization in Pakistan,OPEC/Pakistan
UNICEF - Community Water Supply and Sanitation,OPEC/Nepal
Unibank Loan II,EBRD/Azerbaijan
Unibank III,EBRD/Azerbaijan
UniBanka,EBRD/Slovakia
Unibank,EBRD/Azerbaijan
Unibank,EBRD/Azerbaijan
Unibank,EBRD/Azerbaijan
Unibanco-Unipo de Bancos Brasileiros S.A.,IFC/Brazil
Unibanco - Uniao de Bancos Brasileiros S.A.,IFC/Brazil
Unibanco Trade Finance Facility,IADB/Brazil
[UN High Commissariat for Refugees (UNHCR): Rwanda],Liechtenstein/Rwanda
[UNHCR's assistance program in Moldova],Liechtenstein/Moldova
[UNHCR Â· emergency relief program for Togolese refugees in Benin],Liechtenstein/Benin
Unguja Central Roads Reconstruction and Rehabilitation,OPEC/Tanzania
Unexim Credit Line Assignment (Restructured),EBRD/Russia
(Unesco) Training Program on the Management of Scientific Research and Technology Transfer,AFESD/Global
UNESCO â€“ Human rights and education to fight poverty,Monaco/Niger
[UNEP's contribution to the overall budget and Environment Fund],Liechtenstein/United Nations
[UNEP's contribution to the overall budget and Environment Fund],Liechtenstein/Global
UNDP â€“ Support for the Art Gold Lebanon programme as part of the trust fund for innovative partnerships,Monaco/Lebanon
[UNDP program to disarm. Demilitarization and reintegration,Liechtenstein/Global
Underwriting and placement of international share issue by a major Mexican manufacturing company,IFC/Mexico
Underwriting and placement of international convertible bond issue by a private iron and steel company,IFC/India
Underwriting and placement of first international convertible bond issue by Gujarat Ambuja Cements Ltd.,IFC/India
Underwrite up to 15 percent of the shares in an Emerging Markets fund to invest primarily in listed equity securities of companies in the Czech Republic,IFC/Global
Credit line for International Moscow Bank for onlending for small and medium sized investment projects,IFC/Russia
Credit line for infrastructure,NDF/South Africa
Credit line administered by First Merchant Bank of Zimbabwe will make medium-term loans to small and medium projects,IFC/Zimbabwe
Credit line,IFC/Zimbabwe
Credit line,IFC/Zimbabwe
Credit line,IFC/Zimbabwe
Credit line,IFC/Zimbabwe
Credit line,CAF/Colombia
Credit line,IFC/Poland
Credit line,IFC/Jamaica
Credit line,IFC/Mexico
Credit line,IFC/Zimbabwe
Credit line,IFC/Mexico
Credit Information Bureau Development Support,ASDB/Philippines
Credit Immobilier et Hotelier Project (04),IBRD/Morocco
Credit Immobilier et Hotelier Project (03),IBRD/Morocco
Credit Immobilier et Hotelier Project (02),IBRD/Morocco
Credit Immobilier et Hotelier Project (01),IBRD/Morocco
Credit Guarantee Scheme for SSIs,ASDB/Pakistan
Credit Guarantee Facility for various capital goods and services,United States/Brazil
Credit for Young Farmers,IADB/Dominican Republic
Credit for Women Microcntrepreneurs,IADB/Haiti
Credit for Women Entrepreneurs,IADB/Barbados
Credit for Urban Development and Sanitation,IADB/Bolivia
Credit for Urban and Rural Entrepreneurs,IADB/Barbados
Credit for Turrialba Farmers,IADB/Costa Rica
Credit for the Informal Sector,IADB/Mexico
credit for Small-Scale Farmers and Microenterprises,IADB/Mexico
Credit for Small-Scale Farmers and Cooperatives,IADB/Uruguay
Credit for Small-Scale Farmers,IADB/Jamaica
Credit for Small-Scale Farmers,IADB/Argentina
Credit for Small-Scale Entrepreneurs,IADB/Panama
Credit for Small-Scale Entrepreneurs,IADB/Panama
Credit for Small Farmers on the Highlands Project,IFAD/Peru
Credit for Small Farmers and Artisans,IADB/Bolivia
Credit for Small Enterprises,IADB/El Salvador
Credit for Rural Farmers and Microentrepreneurs,IADB/Paraguay
Credit for Rural Cooperatives,IADB/Bolivia
Credit for Rural and Urban Producers,IADB/Jamaica
Credit for Regional and Municipal Development,IADB/Colombia
Credit for Microindustries,IADB/Honduras
Credit for Microentrepreneurs in Santiago,IADB/Chile
Credit for Microentrepreneurs,IADB/Uruguay
Credit for Microentrepreneurs,IADB/Guyana
Credit for Microentrepreneurs,IADB/Mexico
Credit for Microenterprises,IADB/Bahamas
Credit for Microenterprises,IADB/Dominican Republic
Credit for Microenterprises,IADB/Colombia
Credit for Microenterprise and Small Business,IADB/Costa Rica
Credit for Low-IncomeWomen Producers,IADB/Dominican Republic
Credit for Low-Income Farmers,IADB/Panama
Credit for Low-Income Farmers,IADB/Paraguay
Credit for Low-Income Farmers,IADB/Bolivia
Credit for Low-Income Farmers,IADB/Dominican Republic
Credit for Low-IncomeFarmers,IADB/Paraguay
Credit for Low-income Farmers,IADB/Mexico
Credit for Industry and Tourism,IADB/Bolivia
Credit for Industry and Tourism,IADB/Bolivia
Credit for Industry and Tourism,IADB/Guatemala
Credit for Handicraft Workers,IADB/Colombia
Credit for Guayaquil Entrepreneurs,IADB/Ecuador
Credit for Goat Producers,IADB/Brazil
Credit for Future Farmers,IADB/Costa Rica
Credit for Fishermen,IADB/Ecuador
Credit for Farmers in Tacuarembb,IADB/Uruguay
Credit for Farmers,IADB/Trinidad & Tobago
Credit for Entrepreneurs in San Pedro Sula,IADB/Honduras
Credit Facility for Various Capital Goods and Services,United States/India
Credit Facility for Small-scale Bank,AFDF/Mozambique
Credit Bank of Moscow,EBRD/Russia
Credit and Training for Youth Groups in Quito,IADB/Ecuador
Credit and Training for the Informal Sector,IADB/Colombia
Credit and Training for Small Agricultural Producers,IADB/Nicaragua
Credit and Training for Microenterprises in Chihuahua,IADB/Mexico
Credit and Training for Low-income Women,IADB/Bolivia
Credit and Savings Help Bank (Cashbank) will receive a rand-denominated loan to meet increased demand for its products and services. Cashbank serves the banking needs of low-income communities.,IFC/South Africa
Credit and Marketing Reform Project,IBRD/Brazil
Credit and Institutional Strengthening for Non-Conventional Financial Organizations,IADB/Nicaragua
Creative center for children,Hungary/Bosnia-Herzegovina
Creation of new pension fund management and pension related insurance services in Argentina's new integrated pension services,IFC/Argentina
Creation of Diplomatic Academy in El Salvador ,Chile/El Salvador
Creation of CSS in Ukraine,Poland/Ukraine
Creation of Bank for Microfinance,IADB/Venezuela
Creation of a regional network of co-ordinators monitoring repressions and effectively defending the repressed,Poland/Belarus
[Creation of an information shelter in the National Park Borjomi-Kharagauli],Liechtenstein/Georgia
[Creation of an information shelter in the National Park Borjomi-Kharagauli],Liechtenstein/Georgia
Creation of a network of the Za svabodu Movement and enhancing its activity,Poland/Belarus
Creation of a Multimedia Centre at the Department of Humanities,Poland/Ukraine
Creation of a local information system on the basis of Salihorsk branch of the Za svabodu Movement,Poland/Belarus
Basic Education Improvement Program,IADB/Dominican Republic
Basic Education Improvement,OPEC/Egypt
Basic Education Improvement,OPEC/Cote d'Ivoire
Basic Education II,OPEC/Mali
Basic Education (Girls),ASDF/Laos
Basic Education for Children with Special Needs,ASDB/Uzbekistan
Basic Education for All Project,IADB/El Salvador
Basic Education Enhancement Project - St. Lucia,CDB/St. Lucia
Basic Education Development Support Project,AFDF/Guinea
Basic Education Development Project,IDA/Cape Verde
Basic Education Development,ASDF/Marshall Islands
Basic Education Development,ASDB/Laos
Basic Education Centers Project,OPEC/Ethiopia
Basic Education and Technical and Vocational Training,AFDF/Ethiopia
Basic Education and Job Skills Project (Education II Project),AFDF/Angola
Basic Education and Capacity Building Project (Education V),AFDF/Burkina Faso
Basic Education Access and Management Support Program (Phase One),IADB/Guyana
Basic Education â€“ 2nd Loan,CDB/St.Vincent & Grenadines
Basic Education,OPEC/Haiti
Basic Education,ASDB/Kazakhstan
Basic Education,OPEC/Mali
Basic Education,CDB/St. Kitts & Nevis
Basic Education,ASDB/Indonesia
Basic Education,ASDB/Nepal
Basic Education,ASDB/Cambodia
Basic Education,ASDB/Indonesia
Basic and Technical Education I (TAFL),AFDF/Mauritius
Basic and Secondary Education Strengthening Project (Education III),AFDF/Djibouti
Basic and Primary Education Project,IDA/Nepal
Basic and Primary Education,IADB/Jamaica
Base Station and Mobile Switching Equipment,United States/Mexico
Base Station and Mobile Switching,United States/Mexico
Basell Orlen Polyolefins,EBRD/Poland
[Basel Convention: Contribution to the Technical Co-operation Trust Fund],Liechtenstein/Global
[Basel Convention: contribution to the overall budget (new compulsory contribution from 2005)],Liechtenstein/Global
Base for the Design Workshop Project Strengthening of the GCI in Guatemala,Chile/Guatemala
Bas Cheliff Irrigation Project,IBRD/Algeria
Barum Continental,EBRD/Czech Republic
Barrio Improvement Program,IADB/Argentina
Barranquilla Water Supply Technical Assistance and Rehabilitation Project,IBRD/Colombia
Barlinek,EBRD/Ukraine
Barisal Irrigation Project,IDA/Bangladesh
Baring Vostok Private Equity Fund,IFC/Russia
Barge-mounted private power project.,IFC/Bangladesh
Bardheere Dam,Kuwait/Somalia
Barbara Dam,AFDB/Tunisia
Barbados Port Authority,IADB/Barbados
Barbadian Participant attending Training Seminar in Export Industry Development & Trade Promotion in New York,CDB/Barbados
Barani Village Development Project,IFAD/Pakistan
Barani Farming System Training and Research,ASDB/Pakistan
Barani Area Development Project,IFAD/Pakistan
BAPISA Project,South Africa/Mozambique
BAPINDO Project (05),IBRD/Indonesia
Land and Hangar for Aircraft,OPEC/Seychelles
Land Administration Reform Program,IADB/Haiti
Land Administration Reform,ASDB/Bangladesh
Land Administration Project,NDF/Ghana
Land Administration Project,NDF/Nicaragua
Land Administration Program,NDF/Honduras
Land Administration and Regularization,IADB/Panama
Land Administration and Management Program,IADB/Jamaica
Land Administration,IADB/Belize
Land Acquisition for the Expansion of the Polytechnic Institute ,OPEC/Seychelles
Land Acquisition for Development Purposes,OPEC/Seychelles
Land Acquisition for Agricultural Production Development of La Digue,OPEC/Seychelles
Land Acquisition and Resettlement Program for the Proposed North Java Road Improvement,ASDB/Indonesia
Land Acquisition ,OPEC/Seychelles
Lamir Koto Passimus Road Project,AFDF/Gambia
Laminkoto-Passimus Road,BADEA/Gambia
Laminekoto-Passimus Road,OPEC/Gambia
La Merced Cooperative,IADB/Bolivia
La Merced Cooperative,IADB/Bolivia
LAMCO,IBRD/Liberia
La Marine Workshop,OPEC/Seychelles
La Marie Water Supply,BADEA/Mauritius
La Mape Dam,AFDB/Cameroon
Lamakara-Ketao Road,AFDF/Togo
La Linea (II Centennial) Tunnel,OPEC/Colombia
Lake Valencia Sewage Treatment System,IADB/Venezuela
Lake Sevan,EBRD/Armenia
Lake Managua and City of Managua Environmental Improvement,IADB/Nicaragua
Lake Malawi Artisanal Fisheries Development Projec,AFDF/Malawi
Lake Kivu Coffee and Foodcrop Improvement Project,IDA/Rwanda
Lake Chad Polders Irrigation Project,IDA/Chad
Lake Arenal Power Plant,IADB/Costa Rica
Lai-Wu Iron and Steel Mill Modernization and Expansion,ASDB/China
La Insula Hydroelectric Project,IBRD/Colombia
Lai Chau Province Irrigation Development,OPEC/Viet Nam
Lahore Water Supply Project (02),IDA/Pakistan
Lahore Water Supply and Sewerage Project,IDA/Pakistan
Lahore Urban Development Project,IDA/Pakistan
Laguna de Bay Water Resources Development Study,ASDB/Philippines
LAGUNA DE BAY Fish Pen Development,OPEC/Philippines
Laguna de Bay Fish Pen Development,ASDB/Philippines
Laguna de Bay Environmental Reassessment,ASDB/Philippines
LAGUNA DE BAY DEVELOPMENT PROJECT,ASDB/Philippines
LAGUNA DE BAY DEVELOPMENT PROJECT,ASDB/Philippines
La Goulette Power Project,Kuwait/Tunisia
La Goulette II Power Project (Stage 3),Kuwait/Tunisia
La Goulete II Power Project (Stage A),Kuwait/Tunisia
Lagos Urban Development Project,IBRD/Nigeria
Lagos State Water Supply Project,IBRD/Nigeria
Lagos Power Distribution Project,IBRD/Nigeria
Banana Recovery Programme,CDB/St. Lucia
Banana Irrigation,CDB/Belize
Banana Field Boxes,CDB/Grenada
Banana Expansion,CDB/Belize
Banana Development ,CDB/Belize
Banana Boxing Plant (Add. 1),CDB/Jamaica
Bamenda-Mamfe-Ekok Highway,AFDB/Cameroon
Bambadinca-Xitole-Quebo Road,Saudi Arabia/Guinea-Bissau
Bambadinca-Quebo-Buba Road,AFDF/Guinea-Bissau
Bamako Water Supply Expansion Project,OPEC/Mali
Bamako Expressway Construction,AFDF/Mali
Bamako-Bougouni Road,AFDF/Mali
Baluchistan Trickle Irrigation,ASDB/Pakistan
Baluchistan Rural Electrification,Kuwait/Pakistan
Baluchistan Minor Irrigation and Agricultural Development Project,IDA/Pakistan
Baluchistan Livestock Development,ASDB/Pakistan
Baluchistan Livestock Development,ASDF/Pakistan
Baluchistan Livestock Development,ASDB/Pakistan
Baluchistan Groundwater Development,ASDB/Pakistan
Baluchistan Groundwater and Trickle Irrigation,ASDF/Pakistan
Baluchistan Fisheries Development,ASDB/Pakistan
Baluchistan Fisheries Development,ASDF/Pakistan
Baluchistan Fisheries,ASDB/Pakistan
Baluchistan Agricultural Extension and Adaptive Research Project,IDA/Pakistan
Baltiskii Leasing ZAO,IFC/Russia
Baltic Shipyard,EBRD/Russia
Baltic Food Holding,EBRD/Estonia
Baltic American Enterprise Fund,IFC/Global
Baltex 2000,EBRD/Estonia
Baltarusijos parlamentarÅ_ paÅ_intinis vizitas,Lithuania/Belarus
Baltarusijos jaunimas,Lithuania/Belarus
BALTA Insurance Group,EBRD/Latvia
Balochistan Rural Development and Drought Mitigation,ASDB/Pakistan
Balochistan Road Development Sector â€“ Community Development and Poverty Reduction,ASDF/Pakistan
Balochistan Road Development Sector,ASDB/Pakistan
Balochistan Road Development Sector,ASDB/Pakistan
Balochistan Resource Management Program (Supplementary),ASDB/Pakistan
Balochistan Resource Management Program,ASDB/Pakistan
Balochistan Resource Management Program,ASDB/Pakistan
Balochistan Primary Education Project,IDA/Pakistan
Balochistan Groundwater Resources Reassessment,ASDB/Pakistan
Balochistan Economic Report,ASDB/Pakistan
Balochistan Devolved Social Services Program - TA Loan,ASDF/Pakistan
Balochistan Devolved Social Services - Program Loan,ASDB/Pakistan
Balochistan Devolved Social Services Program,ASDB/Pakistan
Balochistan Devolved Social Services - HIV/AIDs and Infectious Diseases Control,ASDF/Pakistan
Balochistan Capacity Building for Devolved Social Services,ASDB/Pakistan
Balls Mills,United States/Brazil
Ball Packaging Belgrade,EBRD/Serbia and Montenegro
Ballarpur Industries Limited,IFC/India
Balkh River Irrigation Project,ASDB/Afghanistan
[Balkan Youth Project in the states of former Yugoslavia (republics of former Yugoslavia)],Liechtenstein/Sts Ex-Yugo. Unspec.
Balkan Velayat Water Supply,OPEC/Turkmenistan
Balkanpharma,EBRD/Bulgaria
Balkan Gastransit Project,EBRD/Ukraine
Balkan gas transit II,EBRD/Ukraine
Bali Tourism Project,IDA/Indonesia
Balikpapan,ASDB/Indonesia
Balikh Irrigation Project,IBRD/Syria
Balikesir Newsprint Project,IBRD/Turkey
Bali Irrigation Sector,ASDB/Indonesia
Bali Irrigation Project,ASDB/Indonesia
Bali Irrigation (Phase II),ASDB/Indonesia
Bali Irrigation,ASDB/Indonesia
Balcarce Livestock Project,IBRD/Argentina
Balata products pilot plant project,OPEC/Guyana
Balancing,OPEC/Bangladesh
Balance of Plant Equipment,United States/China
Balance of Plant Equipment,United States/China
Balance of Payments Supports,United Arab Emirates/Mali
Balance of Payments Support Loan,OPEC/Nicaragua
Balance of Payments Support Loan,OPEC/Grenada
Balance of Payments Support Loan,OPEC/Guinea-Bissau
Balance of Payments Support Loan,OPEC/Mozambique
Balance of Payments Support Loan,OPEC/Mauritania
Balance of Payments Support Loan,OPEC/Madagascar
Balance of Payments Support Loan,OPEC/Senegal
Highway Project (02),IDA/Sierra Leone
Highway Project (02),IDA/Chad
Highway Project (02),IDA/Burundi
Highway Project (02),IDA/Nepal
Highway Project (02),IDA/Mali
Highway Project (02),IBRD/Algeria
Highway Project (02),IBRD/Liberia
Highway Project (02),IDA/Tanzania
Highway Project (02),IBRD/Portugal
Highway Project (02),IDA/Senegal
Highway Project (02),IBRD/Nicaragua
Highway Project (02),IDA/Guinea
Highway Project (02),IDA/Somalia
Highway Project (02),IBRD/Cameroon
Highway Project (02),IBRD/Cyprus
Highway Project (02),IBRD/Swaziland
Highway Project (02),IDA/Indonesia
Highway Project (02),IBRD/Venezuela
Highway Project (02),IDA/Benin
Highway Project (02),IDA/Yemen
Highway Project (02),IBRD/Uruguay
Highway Project (02),IBRD/Korea
Highway Project (02),IDA/Togo
Highway Project (02),IBRD/Philippines
Highway Project (02),IBRD/Malaysia
Highway Project (02),IDA/China
Highway Project (02),IDA/Papua New Guinea
Highway Project (02),IBRD/Zambia
Highway Project (02),IBRD/Ghana
Highway Project (02),IBRD/Tunisia
Highway Project (02),IBRD/Trinidad & Tobago
Highway Project (02),IBRD/Ecuador
Highway Project (02),IDA/Yemen
Highway Project (02),IBRD/Zimbabwe
Highway Project (02),IBRD/Israel
Highway Project (02),IDA/Malawi
Highway Project (02),IBRD/Thailand
Highway Project (02),IBRD/Morocco
Highway Project (02),IDA/Botswana
Highway Project (02),IBRD/Turkey
Highway Project (02),IBRD/Oman
Highway Project (02),IDA/Sudan
Highway Project (02),IBRD/Mauritius
Highway Project (02),IDA/Lesotho
Highway Project (02),IBRD/Cote d'Ivoire
Highway Project (01),IDA/Ghana
Highway Project (01),IDA/Somalia
Highway Project (01),IDA/Guinea
Highway Project (01),IBRD/Mauritius
Highway Project (01),IDA/Guinea-Bissau
Highway Project (01),IDA/Indonesia
Highway Project (01),IDA/Yemen
Highway Project (01),IDA/Tanzania
Highway Project (01),IBRD/Zambia
Highway Project (01),IBRD/Zimbabwe
Highway Project (01),IBRD/Portugal
Highway Project (01),IDA/Malawi
